"account.id","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","L2010-2011","L2011-2012","L2012-2013","L2013-2014","L2014-2015"
"001i000000LhSrQ","001i000000LhSrQ2010-2011","001i000000LhSrQ2011-2012","001i000000LhSrQ2012-2013","001i000000LhSrQ2013-2014","001i000000LhSrQ2014-2015",0,2,3,4,5
"001i000000LhyPD","001i000000LhyPD2010-2011","001i000000LhyPD2011-2012","001i000000LhyPD2012-2013","001i000000LhyPD2013-2014","001i000000LhyPD2014-2015",1,1,1,1,0
"001i000000LhyPE","001i000000LhyPE2010-2011","001i000000LhyPE2011-2012","001i000000LhyPE2012-2013","001i000000LhyPE2013-2014","001i000000LhyPE2014-2015",1,1,1,1,0
"001i000000LhyPF","001i000000LhyPF2010-2011","001i000000LhyPF2011-2012","001i000000LhyPF2012-2013","001i000000LhyPF2013-2014","001i000000LhyPF2014-2015",1,1,1,1,1
"001i000000LhyPG","001i000000LhyPG2010-2011","001i000000LhyPG2011-2012","001i000000LhyPG2012-2013","001i000000LhyPG2013-2014","001i000000LhyPG2014-2015",1,1,1,1,1
"001i000000LhyPH","001i000000LhyPH2010-2011","001i000000LhyPH2011-2012","001i000000LhyPH2012-2013","001i000000LhyPH2013-2014","001i000000LhyPH2014-2015",1,1,1,1,1
"001i000000LhyPI","001i000000LhyPI2010-2011","001i000000LhyPI2011-2012","001i000000LhyPI2012-2013","001i000000LhyPI2013-2014","001i000000LhyPI2014-2015",1,1,1,1,1
"001i000000LhyPJ","001i000000LhyPJ2010-2011","001i000000LhyPJ2011-2012","001i000000LhyPJ2012-2013","001i000000LhyPJ2013-2014","001i000000LhyPJ2014-2015",1,0,0,1,0
"001i000000LhyPK","001i000000LhyPK2010-2011","001i000000LhyPK2011-2012","001i000000LhyPK2012-2013","001i000000LhyPK2013-2014","001i000000LhyPK2014-2015",1,1,1,1,0
"001i000000LhyPL","001i000000LhyPL2010-2011","001i000000LhyPL2011-2012","001i000000LhyPL2012-2013","001i000000LhyPL2013-2014","001i000000LhyPL2014-2015",1,1,1,1,0
"001i000000LhyPM","001i000000LhyPM2010-2011","001i000000LhyPM2011-2012","001i000000LhyPM2012-2013","001i000000LhyPM2013-2014","001i000000LhyPM2014-2015",1,1,1,1,0
"001i000000LhyPN","001i000000LhyPN2010-2011","001i000000LhyPN2011-2012","001i000000LhyPN2012-2013","001i000000LhyPN2013-2014","001i000000LhyPN2014-2015",1,1,1,1,0
"001i000000LhyPP","001i000000LhyPP2010-2011","001i000000LhyPP2011-2012","001i000000LhyPP2012-2013","001i000000LhyPP2013-2014","001i000000LhyPP2014-2015",1,1,1,1,1
"001i000000LhyPQ","001i000000LhyPQ2010-2011","001i000000LhyPQ2011-2012","001i000000LhyPQ2012-2013","001i000000LhyPQ2013-2014","001i000000LhyPQ2014-2015",1,0,1,1,0
"001i000000LhyPR","001i000000LhyPR2010-2011","001i000000LhyPR2011-2012","001i000000LhyPR2012-2013","001i000000LhyPR2013-2014","001i000000LhyPR2014-2015",1,1,1,1,0
"001i000000LhyPS","001i000000LhyPS2010-2011","001i000000LhyPS2011-2012","001i000000LhyPS2012-2013","001i000000LhyPS2013-2014","001i000000LhyPS2014-2015",0,1,1,1,1
"001i000000LhyPT","001i000000LhyPT2010-2011","001i000000LhyPT2011-2012","001i000000LhyPT2012-2013","001i000000LhyPT2013-2014","001i000000LhyPT2014-2015",1,1,1,1,0
"001i000000LhyPU","001i000000LhyPU2010-2011","001i000000LhyPU2011-2012","001i000000LhyPU2012-2013","001i000000LhyPU2013-2014","001i000000LhyPU2014-2015",1,1,1,1,1
"001i000000LhyPV","001i000000LhyPV2010-2011","001i000000LhyPV2011-2012","001i000000LhyPV2012-2013","001i000000LhyPV2013-2014","001i000000LhyPV2014-2015",1,1,1,1,0
"001i000000LhyPW","001i000000LhyPW2010-2011","001i000000LhyPW2011-2012","001i000000LhyPW2012-2013","001i000000LhyPW2013-2014","001i000000LhyPW2014-2015",1,1,1,1,0
"001i000000LhyPX","001i000000LhyPX2010-2011","001i000000LhyPX2011-2012","001i000000LhyPX2012-2013","001i000000LhyPX2013-2014","001i000000LhyPX2014-2015",1,1,1,1,0
"001i000000LhyPY","001i000000LhyPY2010-2011","001i000000LhyPY2011-2012","001i000000LhyPY2012-2013","001i000000LhyPY2013-2014","001i000000LhyPY2014-2015",1,1,1,1,0
"001i000000LhyPZ","001i000000LhyPZ2010-2011","001i000000LhyPZ2011-2012","001i000000LhyPZ2012-2013","001i000000LhyPZ2013-2014","001i000000LhyPZ2014-2015",1,1,1,1,1
"001i000000LhyPa","001i000000LhyPa2010-2011","001i000000LhyPa2011-2012","001i000000LhyPa2012-2013","001i000000LhyPa2013-2014","001i000000LhyPa2014-2015",1,1,1,1,0
"001i000000LhyPb","001i000000LhyPb2010-2011","001i000000LhyPb2011-2012","001i000000LhyPb2012-2013","001i000000LhyPb2013-2014","001i000000LhyPb2014-2015",1,1,1,1,1
"001i000000LhyPc","001i000000LhyPc2010-2011","001i000000LhyPc2011-2012","001i000000LhyPc2012-2013","001i000000LhyPc2013-2014","001i000000LhyPc2014-2015",1,1,1,1,0
"001i000000LhyPd","001i000000LhyPd2010-2011","001i000000LhyPd2011-2012","001i000000LhyPd2012-2013","001i000000LhyPd2013-2014","001i000000LhyPd2014-2015",1,1,1,1,1
"001i000000LhyPe","001i000000LhyPe2010-2011","001i000000LhyPe2011-2012","001i000000LhyPe2012-2013","001i000000LhyPe2013-2014","001i000000LhyPe2014-2015",1,1,1,1,0
"001i000000LhyPf","001i000000LhyPf2010-2011","001i000000LhyPf2011-2012","001i000000LhyPf2012-2013","001i000000LhyPf2013-2014","001i000000LhyPf2014-2015",1,1,1,1,0
"001i000000LhyPg","001i000000LhyPg2010-2011","001i000000LhyPg2011-2012","001i000000LhyPg2012-2013","001i000000LhyPg2013-2014","001i000000LhyPg2014-2015",1,1,1,1,1
"001i000000LhyPh","001i000000LhyPh2010-2011","001i000000LhyPh2011-2012","001i000000LhyPh2012-2013","001i000000LhyPh2013-2014","001i000000LhyPh2014-2015",1,1,1,1,0
"001i000000LhyPi","001i000000LhyPi2010-2011","001i000000LhyPi2011-2012","001i000000LhyPi2012-2013","001i000000LhyPi2013-2014","001i000000LhyPi2014-2015",1,1,1,1,1
"001i000000LhyPj","001i000000LhyPj2010-2011","001i000000LhyPj2011-2012","001i000000LhyPj2012-2013","001i000000LhyPj2013-2014","001i000000LhyPj2014-2015",0,0,1,1,0
"001i000000LhyPk","001i000000LhyPk2010-2011","001i000000LhyPk2011-2012","001i000000LhyPk2012-2013","001i000000LhyPk2013-2014","001i000000LhyPk2014-2015",1,1,1,1,0
"001i000000LhyPl","001i000000LhyPl2010-2011","001i000000LhyPl2011-2012","001i000000LhyPl2012-2013","001i000000LhyPl2013-2014","001i000000LhyPl2014-2015",1,1,1,1,1
"001i000000LhyPm","001i000000LhyPm2010-2011","001i000000LhyPm2011-2012","001i000000LhyPm2012-2013","001i000000LhyPm2013-2014","001i000000LhyPm2014-2015",1,1,1,1,1
"001i000000LhyPn","001i000000LhyPn2010-2011","001i000000LhyPn2011-2012","001i000000LhyPn2012-2013","001i000000LhyPn2013-2014","001i000000LhyPn2014-2015",1,1,1,1,0
"001i000000LhyPo","001i000000LhyPo2010-2011","001i000000LhyPo2011-2012","001i000000LhyPo2012-2013","001i000000LhyPo2013-2014","001i000000LhyPo2014-2015",0,0,0,1,0
"001i000000LhyPp","001i000000LhyPp2010-2011","001i000000LhyPp2011-2012","001i000000LhyPp2012-2013","001i000000LhyPp2013-2014","001i000000LhyPp2014-2015",1,1,1,1,1
"001i000000LhyPq","001i000000LhyPq2010-2011","001i000000LhyPq2011-2012","001i000000LhyPq2012-2013","001i000000LhyPq2013-2014","001i000000LhyPq2014-2015",1,1,1,1,0
"001i000000LhyPr","001i000000LhyPr2010-2011","001i000000LhyPr2011-2012","001i000000LhyPr2012-2013","001i000000LhyPr2013-2014","001i000000LhyPr2014-2015",1,0,1,1,0
"001i000000LhyPs","001i000000LhyPs2010-2011","001i000000LhyPs2011-2012","001i000000LhyPs2012-2013","001i000000LhyPs2013-2014","001i000000LhyPs2014-2015",1,1,1,1,0
"001i000000LhyPt","001i000000LhyPt2010-2011","001i000000LhyPt2011-2012","001i000000LhyPt2012-2013","001i000000LhyPt2013-2014","001i000000LhyPt2014-2015",1,1,1,1,0
"001i000000LhyPu","001i000000LhyPu2010-2011","001i000000LhyPu2011-2012","001i000000LhyPu2012-2013","001i000000LhyPu2013-2014","001i000000LhyPu2014-2015",1,1,1,1,0
"001i000000LhyPv","001i000000LhyPv2010-2011","001i000000LhyPv2011-2012","001i000000LhyPv2012-2013","001i000000LhyPv2013-2014","001i000000LhyPv2014-2015",0,0,1,1,1
"001i000000LhyPw","001i000000LhyPw2010-2011","001i000000LhyPw2011-2012","001i000000LhyPw2012-2013","001i000000LhyPw2013-2014","001i000000LhyPw2014-2015",1,1,1,1,1
"001i000000LhyPx","001i000000LhyPx2010-2011","001i000000LhyPx2011-2012","001i000000LhyPx2012-2013","001i000000LhyPx2013-2014","001i000000LhyPx2014-2015",1,1,1,0,0
"001i000000LhyPy","001i000000LhyPy2010-2011","001i000000LhyPy2011-2012","001i000000LhyPy2012-2013","001i000000LhyPy2013-2014","001i000000LhyPy2014-2015",1,1,1,1,1
"001i000000LhyPz","001i000000LhyPz2010-2011","001i000000LhyPz2011-2012","001i000000LhyPz2012-2013","001i000000LhyPz2013-2014","001i000000LhyPz2014-2015",1,1,1,1,1
"001i000000LhyQ0","001i000000LhyQ02010-2011","001i000000LhyQ02011-2012","001i000000LhyQ02012-2013","001i000000LhyQ02013-2014","001i000000LhyQ02014-2015",1,1,1,1,0
"001i000000LhyQ1","001i000000LhyQ12010-2011","001i000000LhyQ12011-2012","001i000000LhyQ12012-2013","001i000000LhyQ12013-2014","001i000000LhyQ12014-2015",1,1,1,1,0
"001i000000LhyQ2","001i000000LhyQ22010-2011","001i000000LhyQ22011-2012","001i000000LhyQ22012-2013","001i000000LhyQ22013-2014","001i000000LhyQ22014-2015",0,1,1,1,0
"001i000000LhyQ3","001i000000LhyQ32010-2011","001i000000LhyQ32011-2012","001i000000LhyQ32012-2013","001i000000LhyQ32013-2014","001i000000LhyQ32014-2015",1,1,1,1,0
"001i000000LhyQ4","001i000000LhyQ42010-2011","001i000000LhyQ42011-2012","001i000000LhyQ42012-2013","001i000000LhyQ42013-2014","001i000000LhyQ42014-2015",1,1,1,1,0
"001i000000LhyQ5","001i000000LhyQ52010-2011","001i000000LhyQ52011-2012","001i000000LhyQ52012-2013","001i000000LhyQ52013-2014","001i000000LhyQ52014-2015",1,1,1,1,1
"001i000000LhyQ6","001i000000LhyQ62010-2011","001i000000LhyQ62011-2012","001i000000LhyQ62012-2013","001i000000LhyQ62013-2014","001i000000LhyQ62014-2015",1,1,1,1,1
"001i000000LhyQ7","001i000000LhyQ72010-2011","001i000000LhyQ72011-2012","001i000000LhyQ72012-2013","001i000000LhyQ72013-2014","001i000000LhyQ72014-2015",1,1,1,1,1
"001i000000LhyQ8","001i000000LhyQ82010-2011","001i000000LhyQ82011-2012","001i000000LhyQ82012-2013","001i000000LhyQ82013-2014","001i000000LhyQ82014-2015",1,1,1,1,1
"001i000000LhyQ9","001i000000LhyQ92010-2011","001i000000LhyQ92011-2012","001i000000LhyQ92012-2013","001i000000LhyQ92013-2014","001i000000LhyQ92014-2015",1,1,1,1,0
"001i000000LhyQA","001i000000LhyQA2010-2011","001i000000LhyQA2011-2012","001i000000LhyQA2012-2013","001i000000LhyQA2013-2014","001i000000LhyQA2014-2015",1,1,1,1,1
"001i000000LhyQB","001i000000LhyQB2010-2011","001i000000LhyQB2011-2012","001i000000LhyQB2012-2013","001i000000LhyQB2013-2014","001i000000LhyQB2014-2015",1,1,1,1,1
"001i000000LhyQC","001i000000LhyQC2010-2011","001i000000LhyQC2011-2012","001i000000LhyQC2012-2013","001i000000LhyQC2013-2014","001i000000LhyQC2014-2015",1,1,1,1,0
"001i000000LhyQD","001i000000LhyQD2010-2011","001i000000LhyQD2011-2012","001i000000LhyQD2012-2013","001i000000LhyQD2013-2014","001i000000LhyQD2014-2015",1,1,1,1,0
"001i000000LhyQE","001i000000LhyQE2010-2011","001i000000LhyQE2011-2012","001i000000LhyQE2012-2013","001i000000LhyQE2013-2014","001i000000LhyQE2014-2015",0,1,1,1,0
"001i000000LhyQF","001i000000LhyQF2010-2011","001i000000LhyQF2011-2012","001i000000LhyQF2012-2013","001i000000LhyQF2013-2014","001i000000LhyQF2014-2015",1,1,1,1,0
"001i000000LhyQG","001i000000LhyQG2010-2011","001i000000LhyQG2011-2012","001i000000LhyQG2012-2013","001i000000LhyQG2013-2014","001i000000LhyQG2014-2015",1,1,1,1,1
"001i000000LhyQH","001i000000LhyQH2010-2011","001i000000LhyQH2011-2012","001i000000LhyQH2012-2013","001i000000LhyQH2013-2014","001i000000LhyQH2014-2015",1,1,1,1,1
"001i000000LhyQI","001i000000LhyQI2010-2011","001i000000LhyQI2011-2012","001i000000LhyQI2012-2013","001i000000LhyQI2013-2014","001i000000LhyQI2014-2015",1,1,1,1,0
"001i000000LhyQJ","001i000000LhyQJ2010-2011","001i000000LhyQJ2011-2012","001i000000LhyQJ2012-2013","001i000000LhyQJ2013-2014","001i000000LhyQJ2014-2015",1,1,1,1,1
"001i000000LhyQK","001i000000LhyQK2010-2011","001i000000LhyQK2011-2012","001i000000LhyQK2012-2013","001i000000LhyQK2013-2014","001i000000LhyQK2014-2015",1,1,1,1,1
"001i000000LhyQL","001i000000LhyQL2010-2011","001i000000LhyQL2011-2012","001i000000LhyQL2012-2013","001i000000LhyQL2013-2014","001i000000LhyQL2014-2015",1,1,1,1,1
"001i000000LhyQM","001i000000LhyQM2010-2011","001i000000LhyQM2011-2012","001i000000LhyQM2012-2013","001i000000LhyQM2013-2014","001i000000LhyQM2014-2015",1,1,1,1,1
"001i000000LhyQN","001i000000LhyQN2010-2011","001i000000LhyQN2011-2012","001i000000LhyQN2012-2013","001i000000LhyQN2013-2014","001i000000LhyQN2014-2015",1,1,1,1,0
"001i000000LhyQO","001i000000LhyQO2010-2011","001i000000LhyQO2011-2012","001i000000LhyQO2012-2013","001i000000LhyQO2013-2014","001i000000LhyQO2014-2015",0,1,1,1,1
"001i000000LhyQP","001i000000LhyQP2010-2011","001i000000LhyQP2011-2012","001i000000LhyQP2012-2013","001i000000LhyQP2013-2014","001i000000LhyQP2014-2015",1,1,1,1,1
"001i000000LhyQQ","001i000000LhyQQ2010-2011","001i000000LhyQQ2011-2012","001i000000LhyQQ2012-2013","001i000000LhyQQ2013-2014","001i000000LhyQQ2014-2015",1,1,1,1,1
"001i000000LhyQR","001i000000LhyQR2010-2011","001i000000LhyQR2011-2012","001i000000LhyQR2012-2013","001i000000LhyQR2013-2014","001i000000LhyQR2014-2015",1,1,1,1,1
"001i000000LhyQS","001i000000LhyQS2010-2011","001i000000LhyQS2011-2012","001i000000LhyQS2012-2013","001i000000LhyQS2013-2014","001i000000LhyQS2014-2015",1,1,1,1,0
"001i000000LhyQT","001i000000LhyQT2010-2011","001i000000LhyQT2011-2012","001i000000LhyQT2012-2013","001i000000LhyQT2013-2014","001i000000LhyQT2014-2015",1,1,1,1,1
"001i000000LhyQU","001i000000LhyQU2010-2011","001i000000LhyQU2011-2012","001i000000LhyQU2012-2013","001i000000LhyQU2013-2014","001i000000LhyQU2014-2015",1,1,1,1,0
"001i000000LhyQV","001i000000LhyQV2010-2011","001i000000LhyQV2011-2012","001i000000LhyQV2012-2013","001i000000LhyQV2013-2014","001i000000LhyQV2014-2015",1,1,1,1,1
"001i000000LhyQW","001i000000LhyQW2010-2011","001i000000LhyQW2011-2012","001i000000LhyQW2012-2013","001i000000LhyQW2013-2014","001i000000LhyQW2014-2015",1,1,1,1,0
"001i000000LhyQX","001i000000LhyQX2010-2011","001i000000LhyQX2011-2012","001i000000LhyQX2012-2013","001i000000LhyQX2013-2014","001i000000LhyQX2014-2015",1,1,1,1,0
"001i000000LhyQY","001i000000LhyQY2010-2011","001i000000LhyQY2011-2012","001i000000LhyQY2012-2013","001i000000LhyQY2013-2014","001i000000LhyQY2014-2015",1,1,1,1,1
"001i000000LhyQZ","001i000000LhyQZ2010-2011","001i000000LhyQZ2011-2012","001i000000LhyQZ2012-2013","001i000000LhyQZ2013-2014","001i000000LhyQZ2014-2015",1,1,1,1,0
"001i000000LhyQa","001i000000LhyQa2010-2011","001i000000LhyQa2011-2012","001i000000LhyQa2012-2013","001i000000LhyQa2013-2014","001i000000LhyQa2014-2015",1,1,1,1,1
"001i000000LhyQb","001i000000LhyQb2010-2011","001i000000LhyQb2011-2012","001i000000LhyQb2012-2013","001i000000LhyQb2013-2014","001i000000LhyQb2014-2015",1,1,1,1,1
"001i000000LhyQc","001i000000LhyQc2010-2011","001i000000LhyQc2011-2012","001i000000LhyQc2012-2013","001i000000LhyQc2013-2014","001i000000LhyQc2014-2015",1,1,1,1,0
"001i000000LhyQd","001i000000LhyQd2010-2011","001i000000LhyQd2011-2012","001i000000LhyQd2012-2013","001i000000LhyQd2013-2014","001i000000LhyQd2014-2015",1,1,1,1,1
"001i000000LhyQe","001i000000LhyQe2010-2011","001i000000LhyQe2011-2012","001i000000LhyQe2012-2013","001i000000LhyQe2013-2014","001i000000LhyQe2014-2015",1,1,1,1,0
"001i000000LhyQf","001i000000LhyQf2010-2011","001i000000LhyQf2011-2012","001i000000LhyQf2012-2013","001i000000LhyQf2013-2014","001i000000LhyQf2014-2015",1,1,1,1,1
"001i000000LhyQg","001i000000LhyQg2010-2011","001i000000LhyQg2011-2012","001i000000LhyQg2012-2013","001i000000LhyQg2013-2014","001i000000LhyQg2014-2015",1,1,1,1,0
"001i000000LhyQh","001i000000LhyQh2010-2011","001i000000LhyQh2011-2012","001i000000LhyQh2012-2013","001i000000LhyQh2013-2014","001i000000LhyQh2014-2015",1,1,1,1,1
"001i000000LhyQi","001i000000LhyQi2010-2011","001i000000LhyQi2011-2012","001i000000LhyQi2012-2013","001i000000LhyQi2013-2014","001i000000LhyQi2014-2015",1,1,1,1,1
"001i000000LhyQj","001i000000LhyQj2010-2011","001i000000LhyQj2011-2012","001i000000LhyQj2012-2013","001i000000LhyQj2013-2014","001i000000LhyQj2014-2015",1,1,1,1,1
"001i000000LhyQk","001i000000LhyQk2010-2011","001i000000LhyQk2011-2012","001i000000LhyQk2012-2013","001i000000LhyQk2013-2014","001i000000LhyQk2014-2015",1,1,1,1,1
"001i000000LhyQl","001i000000LhyQl2010-2011","001i000000LhyQl2011-2012","001i000000LhyQl2012-2013","001i000000LhyQl2013-2014","001i000000LhyQl2014-2015",1,1,1,1,1
"001i000000LhyQm","001i000000LhyQm2010-2011","001i000000LhyQm2011-2012","001i000000LhyQm2012-2013","001i000000LhyQm2013-2014","001i000000LhyQm2014-2015",1,1,1,1,1
"001i000000LhyQn","001i000000LhyQn2010-2011","001i000000LhyQn2011-2012","001i000000LhyQn2012-2013","001i000000LhyQn2013-2014","001i000000LhyQn2014-2015",1,1,1,1,1
"001i000000LhyQo","001i000000LhyQo2010-2011","001i000000LhyQo2011-2012","001i000000LhyQo2012-2013","001i000000LhyQo2013-2014","001i000000LhyQo2014-2015",1,1,1,1,0
"001i000000LhyQp","001i000000LhyQp2010-2011","001i000000LhyQp2011-2012","001i000000LhyQp2012-2013","001i000000LhyQp2013-2014","001i000000LhyQp2014-2015",1,1,1,1,0
"001i000000LhyQq","001i000000LhyQq2010-2011","001i000000LhyQq2011-2012","001i000000LhyQq2012-2013","001i000000LhyQq2013-2014","001i000000LhyQq2014-2015",1,1,1,1,1
"001i000000LhyQr","001i000000LhyQr2010-2011","001i000000LhyQr2011-2012","001i000000LhyQr2012-2013","001i000000LhyQr2013-2014","001i000000LhyQr2014-2015",0,0,0,1,0
"001i000000LhyQs","001i000000LhyQs2010-2011","001i000000LhyQs2011-2012","001i000000LhyQs2012-2013","001i000000LhyQs2013-2014","001i000000LhyQs2014-2015",1,1,1,1,0
"001i000000LhyQt","001i000000LhyQt2010-2011","001i000000LhyQt2011-2012","001i000000LhyQt2012-2013","001i000000LhyQt2013-2014","001i000000LhyQt2014-2015",1,1,1,1,1
"001i000000LhyQu","001i000000LhyQu2010-2011","001i000000LhyQu2011-2012","001i000000LhyQu2012-2013","001i000000LhyQu2013-2014","001i000000LhyQu2014-2015",1,1,1,1,1
"001i000000LhyQv","001i000000LhyQv2010-2011","001i000000LhyQv2011-2012","001i000000LhyQv2012-2013","001i000000LhyQv2013-2014","001i000000LhyQv2014-2015",1,1,1,1,1
"001i000000LhyQw","001i000000LhyQw2010-2011","001i000000LhyQw2011-2012","001i000000LhyQw2012-2013","001i000000LhyQw2013-2014","001i000000LhyQw2014-2015",1,1,1,1,0
"001i000000LhyQx","001i000000LhyQx2010-2011","001i000000LhyQx2011-2012","001i000000LhyQx2012-2013","001i000000LhyQx2013-2014","001i000000LhyQx2014-2015",1,1,1,1,1
