"account.id","shipping.zip.code","billing.zip.code","shipping.city","billing.city","relationship","amount.donated.2013","amount.donated.lifetime","no.donations.lifetime","first.donated"
"001i000000LhSrQ","94102","94102","San Francisco","San Francisco","",0,0,0,""
"001i000000LhyPD","","94303","","Palo Alto","",0,500,5,"1987-07-04 00:00:00"
"001i000000LhyPE","","94597","","Walnut Creek","",0,783,7,"2008-06-02 00:00:00"
"001i000000LhyPF","","94610","","Oakland","",1500,28435,28,"1986-07-04 00:00:00"
"001i000000LhyPG","","94024","","Los Altos","",300,4969,16,"1997-04-07 00:00:00"
"001i000000LhyPH","","94124","","San Francisco","",0,0,0,""
"001i000000LhyPI","","94022","","Los Altos","",1000,11913,20,"1991-07-04 00:00:00"
"001i000000LhyPJ","","94549","","Lafayette","",0,1831,17,"1994-04-11 00:00:00"
"001i000000LhyPK","","94551","","Livermore","",0,567.36,10,"1997-01-28 00:00:00"
"001i000000LhyPL","","94563","","Orinda","",0,16248,34,"1991-07-04 00:00:00"
"001i000000LhyPM","","94025","","Menlo Park","",0,250,5,"1997-12-03 00:00:00"
"001i000000LhyPN","","94404","","Foster City","",300,3799,25,"1992-07-04 00:00:00"
"001i000000LhyPP","","94618","","Oakland","",0,4047.96,21,"1998-12-02 00:00:00"
"001i000000LhyPQ","","94117","","San Francisco","",4,238,7,"1999-11-15 00:00:00"
"001i000000LhyPR","","94598","","Walnut Creek","",1575,7306.02,32,"1994-12-05 00:00:00"
"001i000000LhyPS","","94563","","Orinda","",300,2570,15,"1997-04-17 00:00:00"
"001i000000LhyPT","","94618","","Oakland","",500,5929,26,"1989-07-04 00:00:00"
"001i000000LhyPU","","94597","","Walnut Creek","",100,5746,32,"1994-04-27 00:00:00"
"001i000000LhyPV","","94707","","Berkeley","",480,6004,37,"1991-07-04 00:00:00"
"001i000000LhyPW","","94707","","Berkeley","",100,1091,16,"1988-07-04 00:00:00"
"001i000000LhyPX","","94705","","Berkeley","",250,7830,37,"1991-07-04 00:00:00"
"001i000000LhyPY","","94061","","Redwood City","",0,0,0,""
"001i000000LhyPZ","","94063","","Redwood City","",50,1339,31,"1991-07-04 00:00:00"
"001i000000LhyPa","","94028","","Portola Valley","",100,1660,18,"1995-04-06 00:00:00"
"001i000000LhyPb","","94941","","Mill Valley","",0,5600,8,"2007-05-13 00:00:00"
"001i000000LhyPc","","94530","","El Cerrito","",0,635,12,"1995-05-04 00:00:00"
"001i000000LhyPd","","94618","","Oakland","",300,23287.54,31,"1987-07-04 00:00:00"
"001i000000LhyPe","","94805","","Richmond","",450,10880,63,"1995-12-11 00:00:00"
"001i000000LhyPf","","94595","","Walnut Creek","",150,3125,10,"2005-03-14 00:00:00"
"001i000000LhyPg","","94705","","Berkeley","",150,3678,35,"1988-07-04 00:00:00"
"001i000000LhyPh","06511-1210","94303","New Haven","Palo Alto","",250,2075.34,12,"2005-11-21 00:00:00"
"001i000000LhyPi","","94131","","San Francisco","",100,2931,23,"1994-12-19 00:00:00"
"001i000000LhyPj","","94306","","Palo Alto","",0,0,0,""
"001i000000LhyPk","","94109","","San Francisco","",300,4414,29,"1992-07-04 00:00:00"
"001i000000LhyPl","","94062","","Redwood City","",2000,11415,28,"1992-07-04 00:00:00"
"001i000000LhyPm","","94553","","Martinez","",150,2393,19,"1995-05-05 00:00:00"
"001i000000LhyPn","","94705","","Berkeley","",340,1190,7,"2007-05-13 00:00:00"
"001i000000LhyPo","","94080","","South San Francisco","",0,250,5,"1998-12-14 00:00:00"
"001i000000LhyPp","","94530","","El Cerrito","",0,283,10,"1997-01-13 00:00:00"
"001i000000LhyPq","","94110","","San Francisco","",0,0,0,""
"001i000000LhyPr","","94598","","Walnut Creek","",50,434,8,"1986-07-04 00:00:00"
"001i000000LhyPs","","94707","","Berkeley","",300,1875,12,"1994-12-13 00:00:00"
"001i000000LhyPt","","94606","","Oakland","",300,2850,12,"1998-12-17 00:00:00"
"001i000000LhyPu","","94598","","Walnut Creek","",300,6626,27,"1989-07-04 00:00:00"
"001i000000LhyPv","","94114","","San Francisco","",18694.02,44022.27,18,"2011-12-31 00:00:00"
"001i000000LhyPw","","94127","","San Francisco","",200,2550,28,"1997-08-27 00:00:00"
"001i000000LhyPx","","94028","","Portola Valley","Other",0,30,1,"2013-10-31 00:00:00"
"001i000000LhyPy","","94551","","Livermore","",0,379.32,6,"2000-03-03 00:00:00"
"001i000000LhyPz","","94611","","Piedmont","",0,141.68,2,"2008-06-03 00:00:00"
