"account.id","2010-2011","2011-2012","2012-2013","2013-2014"
001i000000LhSrQ,0,0,0,0
001i000000LhyPD,1,1,1,1
001i000000LhyPE,1,1,1,1
001i000000LhyPF,1,1,1,1
001i000000LhyPG,1,1,1,1
001i000000LhyPH,1,1,1,1
001i000000LhyPI,1,1,1,1
001i000000LhyPJ,1,0,1,1
001i000000LhyPK,1,1,1,1
001i000000LhyPL,1,1,1,1
001i000000LhyPM,1,1,1,1
001i000000LhyPN,1,1,1,1
001i000000LhyPP,1,1,1,1
001i000000LhyPQ,1,1,1,1
001i000000LhyPR,1,1,1,1
001i000000LhyPS,1,1,1,1
001i000000LhyPT,1,1,1,1
001i000000LhyPU,1,1,1,1
001i000000LhyPV,1,1,1,1
001i000000LhyPW,1,1,1,1
001i000000LhyPX,1,1,1,1
001i000000LhyPY,1,1,1,1
001i000000LhyPZ,1,1,1,1
001i000000LhyPa,1,1,1,1
001i000000LhyPb,1,1,1,1
001i000000LhyPc,1,1,1,1
001i000000LhyPd,1,1,1,1
001i000000LhyPe,1,1,1,1
001i000000LhyPf,1,1,1,1
001i000000LhyPg,1,1,1,1
001i000000LhyPh,1,1,1,1
001i000000LhyPi,1,1,1,1
001i000000LhyPj,1,0,1,1
001i000000LhyPk,1,1,1,1
001i000000LhyPl,1,1,1,1
001i000000LhyPm,1,1,1,1
001i000000LhyPn,1,1,1,1
001i000000LhyPo,0,0,0,1
001i000000LhyPp,1,1,1,1
001i000000LhyPq,1,1,1,1
001i000000LhyPr,1,1,1,1
001i000000LhyPs,1,1,1,1
001i000000LhyPt,1,1,1,1
001i000000LhyPu,1,1,1,1
001i000000LhyPv,1,1,1,1
001i000000LhyPw,1,1,1,1
001i000000LhyPx,1,1,1,1
001i000000LhyPy,1,1,1,1
001i000000LhyPz,1,1,1,1
001i000000LhyQ0,1,1,1,1
001i000000LhyQ1,1,1,1,1
001i000000LhyQ2,0,1,1,1
001i000000LhyQ3,1,1,1,1
001i000000LhyQ4,1,1,1,1
001i000000LhyQ5,1,1,1,1
001i000000LhyQ6,1,1,1,1
001i000000LhyQ7,1,1,1,1
001i000000LhyQ8,1,1,1,1
001i000000LhyQ9,1,1,1,1
001i000000LhyQA,1,1,1,1
001i000000LhyQB,1,1,1,1
001i000000LhyQC,1,1,1,1
001i000000LhyQD,1,1,1,1
001i000000LhyQE,1,1,1,1
001i000000LhyQF,1,1,1,1
001i000000LhyQG,1,1,1,1
001i000000LhyQH,1,1,1,1
001i000000LhyQI,1,1,1,1
001i000000LhyQJ,1,1,1,1
001i000000LhyQK,1,1,1,1
001i000000LhyQL,1,1,1,1
001i000000LhyQM,1,1,1,1
001i000000LhyQN,1,1,1,1
001i000000LhyQO,1,1,1,1
001i000000LhyQP,1,1,1,1
001i000000LhyQQ,1,1,1,1
001i000000LhyQR,1,1,1,1
001i000000LhyQS,1,1,1,1
001i000000LhyQT,1,1,1,1
001i000000LhyQU,1,1,1,1
001i000000LhyQV,1,1,1,1
001i000000LhyQW,1,1,1,1
001i000000LhyQX,1,1,1,1
001i000000LhyQY,1,1,1,1
001i000000LhyQZ,1,1,1,1
001i000000LhyQa,1,1,1,1
001i000000LhyQb,1,1,1,1
001i000000LhyQc,1,1,1,1
001i000000LhyQd,1,1,1,1
001i000000LhyQe,1,1,1,1
001i000000LhyQf,1,1,1,1
001i000000LhyQg,1,1,1,1
001i000000LhyQh,1,1,1,1
001i000000LhyQi,1,1,1,1
001i000000LhyQj,1,1,1,1
001i000000LhyQk,1,1,1,1
001i000000LhyQl,1,1,1,1
001i000000LhyQm,1,1,1,1
001i000000LhyQn,1,1,1,1
001i000000LhyQo,1,1,1,1
001i000000LhyQp,1,1,1,1
001i000000LhyQq,1,1,1,1
001i000000LhyQr,1,1,1,1
001i000000LhyQs,1,1,1,1
001i000000LhyQt,1,1,1,1
001i000000LhyQu,1,1,1,1
001i000000LhyQv,1,1,1,1
001i000000LhyQw,1,1,1,1
001i000000LhyQx,1,1,1,1
001i000000LhyQy,1,1,1,1
001i000000LhyQz,1,1,1,1
001i000000LhyR0,1,1,1,1
001i000000LhyR1,1,1,1,1
001i000000LhyR2,1,1,1,1
001i000000LhyR3,1,1,1,1
001i000000LhyR4,1,1,1,1
001i000000LhyR5,0,1,1,1
001i000000LhyR6,1,1,1,1
001i000000LhyR7,1,1,1,1
001i000000LhyR8,1,1,1,1
001i000000LhyR9,1,1,1,1
001i000000LhyRA,1,1,1,1
001i000000LhyRB,1,1,1,1
001i000000LhyRC,1,1,1,1
001i000000LhyRD,1,1,1,1
001i000000LhyRE,1,1,1,1
001i000000LhyRF,1,1,1,1
001i000000LhyRG,1,1,1,1
001i000000LhyRH,1,1,1,1
001i000000LhyRI,1,1,1,1
001i000000LhyRJ,1,1,1,1
001i000000LhyRK,1,1,1,1
001i000000LhyRL,1,1,1,1
001i000000LhyRM,1,1,1,1
001i000000LhyRN,1,1,1,1
001i000000LhyRO,1,1,1,1
001i000000LhyRP,1,1,1,1
001i000000LhyRQ,1,1,1,1
001i000000LhyRR,1,1,1,1
001i000000LhyRS,1,1,1,1
001i000000LhyRT,1,1,1,1
001i000000LhyRU,1,1,1,1
001i000000LhyRV,1,1,1,1
001i000000LhyRW,1,1,1,1
001i000000LhyRX,1,1,1,1
001i000000LhyRY,1,1,1,1
001i000000LhyRZ,1,1,1,1
001i000000LhyRa,1,1,1,1
001i000000LhyRb,1,1,1,1
001i000000LhyRc,1,1,1,1
001i000000LhyRd,1,1,1,1
001i000000LhyRe,1,1,1,1
001i000000LhyRf,1,1,1,1
