zip,count
NA,2955
1002,3
1003,1
1007,1
1057,1
1243,1
1330,1
1741,2
1757,1
1775,1
1778,1
1810,3
1824,1
1938,1
1945,1
2011,1
2056,1
2114,1
2115,1
2116,5
2130,3
2131,1
2138,3
2139,2
2140,1
2141,2
2143,2
2155,1
2163,1
2169,1
2173,1
2178,1
2205,3
2215,1
2332,1
2360,1
2451,1
2453,1
2466,1
2468,1
2472,1
2474,1
2478,1
2481,1
2631,1
2769,1
2806,1
2809,1
2818,1
2831,1
2906,2
2910,1
2940,1
3031,1
3054,1
3086,1
3102,1
3574,1
3600,1
3755,2
3870,1
3906,1
4011,2
4030,1
4043,2
4077,1
4101,2
4103,1
4330,1
4469,1
4858,1
4962,1
5055,1
5060,1
5301,1
5345,1
5401,1
5403,1
5404,1
5482,1
5489,1
5495,1
5651,1
5792,1
6031,1
6058,1
6106,1
6115,1
6117,1
6119,1
6269,1
6430,1
6437,3
6443,1
6457,1
6468,1
6473,1
6511,4
6515,2
6518,1
6520,2
6525,1
6702,1
6825,1
6828,1
6830,2
6831,1
6880,2
6883,1
6897,1
6902,1
6903,1
6904,1
6905,1
6926,1
7078,1
7094,1
7102,1
7302,1
7504,1
7626,1
7631,1
7645,1
7712,1
7724,1
7728,1
7760,1
7764,1
8003,1
8028,1
8520,1
8540,6
8543,12
8544,1
8557,1
8833,1
8854,1
9419,1
9468,1
10003,2
10005,3
10011,4
10012,2
10013,4
10014,3
10016,4
10017,4
10018,3
10019,4
10021,6
10022,4
10023,8
10024,7
10025,12
10028,2
10031,1
10036,2
10040,1
10115,1
10128,1
10162,1
10304,1
10463,1
10576,2
10577,1
10591,1
10605,2
10606,1
1074EC,1
10920,1
11023,1
11024,1
11109,2
11201,3
11206,1
11210,1
11211,1
11215,1
11217,3
11226,1
11231,2
11365,1
11548,1
11570,1
11576,1
11768,1
11777,1
11794,2
12017,1
121-750,1
12159,1
12183,1
12203,1
12309,1
1243001,1
12498,1
12504,1
12567,1
13346,1
13413,1
135-916,1
14113,1
14221,1
14605,1
14722,1
14850,1
14853,1
15206,1
15213,1
15215,1
15217,1
15218,1
15327,1
15401,1
16801,1
16802,1
16803,1
17033,1
17036,1
17112,1
17522,1
17603,1
17931,1
18015,1
18020,1
18073,1
18701,1
18938,1
19046,1
19073,1
19085,3
19095,1
19102,3
19103,1
19106,1
19115,1
19131,1
19192,1
19320,1
19350,1
19355,2
19380,1
19401,1
19426,1
19438,1
19465,1
19522,1
19560,1
19602,1
19607,1
19608,1
19610,1
19801,1
19806,1
19958,1
20001,1
20002,2
20005,1
20007,2
20008,1
20009,3
20010,1
20016,4
20017,1
20036,4
20037,4
20111,1
20176,1
20184,1
20506,1
20566,1
20607,1
20705,1
20742,1
20763,1
20815,2
20816,1
20817,2
20850,1
20852,2
20854,1
20904,1
20906,1
20912,1
21012,1
21044,1
21114,1
21122,1
21201,1
21208,1
21209,1
21210,1
21211,1
21286,1
21297,1
21401,1
21403,1
21409,1
215,1
21738,1
21740,1
21797,1
22030,1
22031,1
22038,1
22044,1
22101,2
22102,1
22180,1
22182,1
22203,1
22205,1
22206,1
22207,1
22302,1
22304,1
22747,1
22827,1
22901,1
22903,2
22947,1
23139,1
23173,1
23185,1
23220,2
23233,1
23507,1
23663,1
23803,2
23832,1
24201,1
24401,1
24590,1
26104,1
27104,1
27401,1
27410,1
27516,1
27599,1
27606,1
27608,1
27613,1
27708,1
27709,1
27949,1
28202,2
28211,1
28226,1
28255,1
28270,1
28403,2
28715,1
29108,1
29150,1
29407,1
29576,1
29601,1
29631,2
29687,1
30033,1
30117,1
30126,1
30303,1
30305,1
30308,1
30318,1
30324,1
30327,1
30329,1
30545,1
30601,1
32085,1
32092,1
32176,2
32259,1
32605,1
32611,1
32701,1
32789,1
32903,1
32931,3
33037,1
33042,1
33067,1
33102,1
33132,1
33141,1
33152,1
33156,1
33166,1
33308,1
33312,2
33401,2
33417,2
33433,1
33602,2
33617,1
33629,1
33917,1
33957,1
34108,1
34223,1
34236,1
34275,1
34427,1
34744,1
34995,1
34996,1
35758,1
37064,1
37072,1
37095,1
37205,1
37211,1
37212,1
37215,1
37216,1
37918,1
38655,1
39157,1
39759,1
40059,1
40121,1
40202,1
40205,1
40324,1
41652,1
42303,1
43085,1
43203,1
43209,1
43215,2
43528,1
43614,1
44074,1
44106,2
44107,1
44113,1
44122,1
44234,1
44251,1
45202,1
45231,1
45236,1
45237,1
45244,1
45324,1
45402,1
45420,1
45660,1
45701,2
46032,1
46304,1
46321,1
46375,1
46556,2
46561,1
46637,1
46805,1
47401,3
47408,1
48025,1
48038,1
48071,1
48073,1
48104,3
48106,1
48108,1
48109,1
48215,1
48302,1
48642,1
48824,1
48840,1
48864,3
49008,1
49404,1
49456,1
49930,1
49931,1
49938,1
50011,1
50312,1
50613,1
52242,1
53202,1
53340,1
53703,1
53711,2
53713,1
53719,1
54414,1
54911,2
55057,1
55102,3
55108,1
55112,1
55116,1
55118,1
55122,1
55241,1
55345,1
55356,1
55416,1
55419,1
55447,1
55901,2
57042,1
57104,3
57186,2
57701,1
58078,1
59068,2
59601,3
59714,1
59715,1
59739,1
59760,1
59808,1
59911,1
60005,1
60030,1
60060,1
60093,1
60120,1
60137,2
60187,1
60193,1
60202,1
60302,2
60304,1
60305,1
60417,1
60464,2
60511,1
60516,1
60521,1
60540,1
60546,1
60601,2
60604,1
60605,1
60610,3
60611,3
60613,2
60625,1
60626,3
60637,2
60640,3
60647,1
60657,3
60827,1
61107,1
61462,1
61701,1
61801,1
61820,1
61822,1
62025,1
62236,1
62293,1
62522,1
63121,1
63125,1
63130,2
63301,1
63755,1
64068,1
64113,1
64706,1
65203,1
65211,1
65897,1
66203,1
66206,1
66210,1
66503,1
66506,1
66606,1
66611,1
67147,1
67401,1
68102,2
68118,1
68123,1
