"account.id","billing.zip.code","billing.city","missing","City","State","Lat","Long","hotspot","dBerkley","dSF","dPeninsula"
"001i000000aSAb5","94103","San Francisco",0,"SAN FRANCISCO","CA",37.77,-122.41,"BayArea",10.5278738229048,0.768138634570924,26.9282362077284
"001i000000aSAc7","94115","San Francisco",0,"SAN FRANCISCO","CA",37.78,-122.43,"BayArea",10.9975377453387,0.527481964210213,28.0788482520332
"001i000000aSAZY","94611","Oakland",0,"OAKLAND","CA",37.83,-122.22,"BayArea",3.42069665065432,11.6243547342125,27.68567399962
"001i000000aSBdm","94025","Menlo Park",0,"MENLO PARK","CA",37.45,-122.17,"BayArea",29.2779844416343,26.4486620023269,1.26011037066595
"001i000000aSC6F","94109","San Francisco",0,"SAN FRANCISCO","CA",37.79,-122.42,"BayArea",10.1650201571744,0.949557293457745,28.4011479206665
"001i000000aSCAl","94115","San Francisco",0,"SAN FRANCISCO","CA",37.78,-122.43,"BayArea",10.9975377453387,0.527481964210213,28.0788482520332
"001i000000aSCda","94705","Berkeley",0,"BERKELEY","CA",37.86,-122.24,"BayArea",1.2723077014902,11.4853829134071,29.8783364878991
"001i000000aSCdB","94110","San Francisco",0,"SAN FRANCISCO","CA",37.74,-122.41,"BayArea",11.9590609597601,2.59097927902824,25.1492019756071
"001i000000aSCfi","94114","San Francisco",0,"SAN FRANCISCO","CA",37.75,-122.43,"BayArea",12.2582855946992,1.87891697704485,26.323289239554
"001i000000aSCJt","94131","San Francisco",0,"SAN FRANCISCO","CA",37.74,-122.44,"BayArea",13.1269097217201,2.70798361671258,26.0605342650374
"001i000000aSCoM","94609","San Francisco",0,"OAKLAND","CA",37.83,-122.26,"BayArea",2.56114449407199,9.57813721551399,28.0041157572816
"001i000000aSCUs","94111","San Francisco",0,"SAN FRANCISCO","CA",37.79,-122.39,"BayArea",8.8109595022274,1.96689136870345,27.633146984553
"001i000000aSCzV","08003","Cherry Hill",0,"CHERRY HILL","NJ",39.9,-74.99,"",2519.36548444227,2529.64262587052,2524.01561566792
"001i000000aSD0E","94114","San Francisco",0,"SAN FRANCISCO","CA",37.75,-122.43,"BayArea",12.2582855946992,1.87891697704485,26.323289239554
"001i000000aSQuD","94108","san francisco",0,"SAN FRANCISCO","CA",37.79,-122.4,"BayArea",9.2520729256576,1.51059478256365,27.8807293678605
"001i000000aTGcw","94104","SAN FRANCISCO",0,"SAN FRANCISCO","CA",37.79,-122.4,"BayArea",9.2520729256576,1.51059478256365,27.8807293678605
"001i000000aTRtZ","94707","Berkeley",0,"BERKELEY","CA",37.9,-122.28,"BayArea",2.4949449025117,11.531582571248,32.9650786305347
"001i000000aTRxJ","91106","Pasadena",0,"PASADENA","CA",34.13,-118.13,"SoCal",346.736780930764,348.292256687002,321.605547318484
"001i000000aTTBv","94611","oakland",0,"OAKLAND","CA",37.83,-122.22,"BayArea",3.42069665065432,11.6243547342125,27.68567399962
"001i000000aTTD3","94109","San Francisco",0,"SAN FRANCISCO","CA",37.79,-122.42,"BayArea",10.1650201571744,0.949557293457745,28.4011479206665
"001i000000aTTEn","94122","San Francisco",0,"SAN FRANCISCO","CA",37.76,-122.48,"BayArea",14.0466687915003,3.39005414955431,28.4704499932337
"001i000000aTTHO","91764","Ontario",0,"ONTARIO","CA",34.07,-117.62,"SoCal",369.369987563968,371.475691526607,345.196155793436
"001i000000aTTlu","94122","San Francisco",0,"SAN FRANCISCO","CA",37.76,-122.48,"BayArea",14.0466687915003,3.39005414955431,28.4704499932337
"001i000000aTTZe","94115","San Francisco",0,"SAN FRANCISCO","CA",37.78,-122.43,"BayArea",10.9975377453387,0.527481964210213,28.0788482520332
"001i000000aU9Sz","20036","Washington",0,"WASHINGTON","DC",38.89,-77.03,"DC",2428.25935477571,2438.40208013035,2431.71524752886
"001i000000aUDjp","94123","San Francisco",0,"SAN FRANCISCO","CA",37.8,-122.43,"BayArea",10.3045762459543,1.70150695783867,29.2724686851743
"001i000000aUDoP","94158","San Francisco",0,"SAN FRANCISCO","CA",37.76,-122.39,"BayArea",10.2013417076367,2.06177202590126,25.7912771699272
"001i000000aUDpI","94127","San Francisco",0,"SAN FRANCISCO","CA",37.73,-122.45,"BayArea",13.9972589009244,3.56251011313712,25.8253693340928
"001i000000aUDvH",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"001i000000aUDvq",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"001i000000aUDw5",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"001i000000aUDwJ",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"001i000000aUDwn",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"001i000000aUDwt",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
