"account.id","season","package","no.seats","location","section","price.level","total","multiple.subs"
"001i000000LhyR3","2009-2010","Quartet",2,"San Francisco","Premium Orchestra","1",1,"no"
"001i000000NuOeY","2000-2001","Full",2,"San Francisco","Orchestra","2",2,"no"
"001i000000NuNvb","2001-2002","Full",2,"Berkeley Saturday","Balcony Front","3",2,"no"
"001i000000NuOIz","1993-1994","Quartet",1,"Contra Costa","Orchestra","2",0.5,"no"
"001i000000NuNVE","1998-1999","Full",2,"Berkeley Sunday","Balcony Rear","4",2,"no"
"001i000000Lhyb9","2014-2015","Trio A",2,"Berkeley Saturday",NA,"3",1,"yes"
"001i000000NuO8f","1997-1998","Quartet",1,"Peninsula","Orchestra","2",0.5,"no"
"001i000000NuObX","2006-2007","Full",2,"San Francisco","Orchestra","2",2,"no"
"001i000000LhycQ","2012-2013","Trio A",2,"Peninsula","Orchestra","4",1,"no"
"001i000000LhySF","1994-1995","Full",2,"San Francisco","Orchestra","2",2,"no"
"001i000000LhyaZ","1999-2000","Full",2,"Berkeley Sunday","Balcony Front","3",2,"no"
"001i000000NuPvD","2005-2006","Full",2,"San Francisco","Orchestra Front","1",2,"no"
"001i000000NuNpm","1996-1997","Full",2,"Santa Rosa","Orchestra","2",2,"no"
"001i000000LhyaV","2012-2013","Trio B",1,"Peninsula","Orchestra","1",0.5,"no"
"001i000000LhyaW","2004-2005","Full",1,"Berkeley Sunday","",NA,1,"no"
"001i000000LhyQn","1994-1995","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000LhyX6","2014-2015","Full",1,"San Francisco",NA,"4",1,"no"
"001i000000LhybM","2005-2006","Trio",2,"San Francisco","Orchestra Front","1",1,"no"
"001i000000LhyQx","1997-1998","Full",2,"Berkeley Sunday","Orchestra","2",2,"no"
"001i000000LhyYF","2009-2010","Full",1,"Peninsula","Orchestra","2",1,"no"
"001i000000NuQvL","2010-2011","Full",1,"Berkeley Saturday","Balcony Front","3",1,"no"
"001i000000NuOZ3","1996-1997","Full",2,"Berkeley Saturday","Balcony Front","3",2,"no"
"001i000000LhyaU","1996-1997","Quartet",2,"Berkeley Sunday","Orchestra","2",1,"no"
"001i000000LhyTU","1996-1997","Full",2,"Berkeley Saturday","Balcony Rear","4",2,"no"
"001i000000Lhybo","2006-2007","Quartet",1,"San Francisco","Premium Orchestra","1",0.5,"no"
"001i000000NuOKc","1993-1994","Full",2,"Berkeley Sunday","Orchestra","2",2,"no"
"001i000000LhyXZ","2013-2014","Trio A",1,"Peninsula",NA,"1",0.5,"no"
"001i000000NuOrK","1997-1998","Full",2,"San Francisco","Orchestra","2",2,"no"
"001i000000LhyRY","2010-2011","Full",2,"San Francisco","Orchestra","1",2,"no"
"001i000000LhyR9","1999-2000","Full",2,"Berkeley Sunday","Orchestra","2",2,"no"
"001i000000NuNjO","1993-1994","Full",4,"San Francisco","Dress Circle","3",4,"no"
"001i000000LhyQ7","2012-2013","Full",2,"Peninsula","Orchestra","0",2,"no"
"001i000000NuODp","1993-1994","Full",2,"Peninsula","Orchestra","2",2,"no"
"001i000000Lhybn","2002-2003","Full",1,"Berkeley Saturday","",NA,1,"no"
"001i000000LhybH","2010-2011","Full",2,"Berkeley Sunday","Balcony Rear","4",2,"no"
"001i000000NuO6v","2009-2010","Full",4,"San Francisco","Premium Orchestra","1",4,"no"
"001i000000LhyYS","2009-2010","Full",2,"Peninsula","Orchestra","2",2,"no"
"001i000000LhyYe","2013-2014","Full",2,"San Francisco",NA,"0",2,"no"
"001i000000NuPYp","2003-2004","Full",1,"San Francisco","",NA,1,"no"
"001i000000NuNVF","1994-1995","Full",2,"Peninsula","Orchestra","2",2,"no"
"001i000000NuO2Z","1995-1996","Full",2,"San Francisco","Orchestra","2",2,"no"
"001i000000NuOAO","2012-2013","Trio B",2,"Peninsula","Orchestra","0",1,"no"
"001i000000NuOp4","1996-1997","Quartet",1,"San Francisco","Dress Circle","3",0.5,"no"
"001i000000NuOCq","2001-2002","Full",2,"Peninsula","Balcony","4",2,"no"
"001i000000NuOTy","1997-1998","Quartet",1,"Peninsula","Orchestra","2",0.5,"no"
"001i000000NuQDa","2001-2002","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000NuOX6","1998-1999","Full",1,"Berkeley Sunday","Orchestra","2",1,"no"
"001i000000Lhybn","1998-1999","Full",2,"Berkeley Saturday","Balcony Front","3",2,"no"
"001i000000NuNnS","2004-2005","Full",1,"Peninsula","",NA,1,"no"
"001i000000LhyQQ","2011-2012","Full",2,"Berkeley Saturday","Orchestra","0",2,"no"
