"account.id","price.level","no.seats","marketing.source","season","location","set","multiple.tickets"
"001i000000NuOP0","4",2,"","2012-2013","San Francisco","4","no"
"001i000000NuOYU","1",1,"Other","2013-2014","Berkeley Sunday","6","no"
"001i000000NuRS9","4",2,"","2011-2012","Family concert","3","no"
"001i000000NuRPj","3",1,"Postcard or brochure","2013-2014","Berkeley Saturday","2","no"
"001i000000NuRQ1","2",2,"","2013-2014","Berkeley Saturday","1","no"
"001i000000NuRVR","4",12,"","2011-2012","Peninsula","2","yes"
"001i000000NuRSm","2",2,"","2011-2012","San Francisco","2","no"
"001i000000oks4h","1",2,"KDFC Radio","2013-2014","Berkeley Saturday","3","no"
"001i000000NuRRk","4",1,"","2012-2013","San Francisco","2","no"
"001i000000NuPJN","4",2,"Philharmonia website","2013-2014","San Francisco","6","no"
"001i000000NuRLz","4",1,"","2011-2012","San Francisco","2","no"
"001i000000NuQSw","3",1,"Philharmonia website","2013-2014","San Francisco","4","no"
"001i000000oks24","3",2,"Word of mouth","2013-2014","San Francisco","2","no"
"001i000000NuR2K","4",1,"","2010-2011","San Francisco","7","no"
"001i000000V24lZ","4",1,"","2013-2014","Berkeley Sunday","1","no"
"001i000000NuRIN","4",2,"","2011-2012","Peninsula","6","no"
"001i000000NuQTw","4",2,"","2011-2012","San Francisco","7","no"
"001i000000NuNvT","2",1,"","2010-2011","San Francisco","4","no"
"001i000000NuRW9","4",2,"","2011-2012","Berkeley Saturday","5","no"
"001i000000NuQwN","4",2,"","2010-2011","Peninsula","1","no"
"001i000000oks3c","4",2,"Other print","2013-2014","Berkeley Saturday","1","no"
"001i000000NuOPj","3",4,"","2013-2014","San Francisco","1","no"
"001i000000NuPUl","2",2,"","2010-2011","Berkeley Sunday","1","no"
"001i000000NuNk5","4",1,"","2010-2011","San Francisco","6","no"
"001i000000NuNce","1",2,"","2011-2012","Berkeley Saturday","7","no"
"001i000000NuRMo","2",2,"","2012-2013","San Francisco","1","no"
"001i000000NuRWT","1",2,"","2013-2014","Berkeley Saturday","6","no"
"001i000000NuQUg","3",4,"Philharmonia website","2013-2014","San Francisco","5","no"
"001i000000NuRBI","3",1,"","2012-2013","Berkeley Sunday","1","no"
"001i000000NuPer","2",1,"Word of mouth","2013-2014","Berkeley Saturday","3","no"
"001i000000NuRUr","2",2,"","2013-2014","Berkeley Saturday","6","no"
"001i000000NuNsg","1",2,"Word of mouth","2013-2014","Berkeley Saturday","1","no"
"001i000000NuRAq","4",3,"Philharmonia website","2013-2014","San Francisco","5","no"
"001i000000NuRyL","1",1,"Postcard or brochure","2013-2014","Peninsula","1","no"
"001i000000NuRET","2",2,"Postcard or brochure","2013-2014","Berkeley Sunday","4","no"
"001i000000NuRD4","3",3,"","2012-2013","San Francisco","2","no"
"001i000000oks4i","3",1,"City Box Office newsletter","2013-2014","Berkeley Saturday","6","no"
"001i000000NuRGM","4",1,"Other","2013-2014","Berkeley Sunday","1","no"
"001i000000NuOk1","",2,"","2012-2013","San Francisco","2","no"
