"total","amount.donated.2013","amount.donated.lifetime","no.donations.lifetime","years.donating","account.num","add_donated.2013","add_avg.donation","add_avg.donation.if.donated.2013","price.level_2012_2013","price.level_2013_2014","no.seats_2012_2013","no.seats_2013_2014","total_2012_2013","total_2013_2014","package_2012_2013","package_2013_2014","location_2012_2013","location_2013_2014","section_2012_2013","adjusted.total.2012_2013","adjusted.total.2013_2014","avg.2.years","var.2.years","avg.3.years","var.3.years","avg.4.years","var.4.years","avg.5.years","var.5.years","avg.6.years","var.6.years","avg.8.years","var.8.years","avg.2.years.if.no.var","avg.3.years.if.no.var","avg.4.years.if.no.var","avg.5.years.if.no.var","avg.6.years.if.no.var","avg.8.years.if.no.var","num.bought.subs","ever.bought.ticket"
0,0,0,0,0,19167,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19168,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19169,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19170,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19175,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19176,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19172,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19173,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19179,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19180,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19185,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19186,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19187,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19189,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
